idFechaConstruccion,sigla,nombreAeropuerto,categoria,tipo,departamento,municipio,latitud,longitud,propietario,longitudPista,anchoPista,pbmo,elevacion
2013-4,7FU,LA ESCONDIDA,Aeródromo,Fumigación,Meta,Puerto Gaitán,4.6108,-71.1935,PALMAS SICARARE S.A.S.,1300,18,5000,564
2009-5,7FW,MORICHITO,Aeródromo,Privado,Casanare,Hato Corozal,5.9188,-71.7932,CARMEN NARANJO,800,15,3500,720
2013-11,7FX,CAROLINA DEL PRINCIPE,Aeródromo,Público,Antioquia,Carolina,6.7248,-75.2909,MUNICIPIO,400,16,1000,6004
2013-3,7FY,DUBAI,Aeródromo,Privado,Córdoba,Ayapel,8.296,-75.0307,ANDRES D. LONDOÑO T.,350,10,500,82
2012-10,7GA,BARU - HIDROPUERTO,Aeródromo,Privado,Bolívar,Cartagena de Indias,10.2321,-75.5877,MAURICIO E. VASQUEZ M.,450,20,500,0
2009-10,7GB,LA CAROLINA,Aeródromo,Privado,Cesar,El Paso,9.528,-73.7866,JORGE AGUDELO RESTREPO,350,10,500,690
2012-8,7GC,SAN FELIPE DEL PAUTO,Aeródromo,Privado,Casanare,Trinidad,5.2032,-70.8951,AGRAS S.A.S,720,10,3000,3125
2013-5,7GD,VELASQUEZ,Aeródromo,Privado,Boyacá,Puerto Boyacá,5.9482,-74.4575,FAC,1500,18,10000,617
2013-5,7GF,LA UNION,Aeródromo,Privado,Casanare,Paz de Ariporo,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,640,18,3500,335
2013-5,7GG,LA ILUSION,Aeródromo,Privado,Casanare,Maní,4.5805,-72.4282,SIGRA S.A.,890,18,3500,574
2013-12,7GH,LA VENTUROSA,Aeródromo,Público,Vichada,Puerto Carreño,6.1391,-68.7779,MUNICIPIO,1000,12,9500,246
2013-7,7GI,GUAYABAL DEL CRAVO,Aeródromo,Privado,Casanare,Orocué,4.7223,-71.5943,KLAUS PUTH ARANGUREN,750,12,2500,442
2010-8,7GK,LAS VIOLETAS- CA,Aeródromo,Privado,Meta,Castilla la Nueva,3.8519,-73.7286,FRANCELINA CADENA,350,10,500,609
2013-9,7GN,LOS MANGOS,Aeródromo,Privado,Córdoba,Ayapel,8.2956,-75.0987,MANUEL LOPEZ ORTEGA,200,10,500,90
2012-10,7HA,EL CONDOR,Aeródromo,Privado,Tolima,Flandes,4.2595,-74.8308,AEROTURBO DE COLOMBIA,280,10,500,992
2012-11,7HB,HOTEL SAN DIEGO,Aeródromo,Privado,Meta,Puerto Gaitán,3.7693,-71.8179,MADYGAN S.A.S.,800,18,4000,725
2013-7,7HC,EL CAFUCHE,Aeródromo,Privado,Vichada,La Primavera,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,850,18,4000,384
2012-10,7HE,GUACHARACAS (COLOMBAIMA),Aeródromo,Privado,Cundinamarca,Beltrán,4.7371,-74.8021,EMPRESA GUACHARACAS,700,10,3000,797
2012-12,7HF,GAVILAN DE LA PASCUA,Aeródromo,Público,Vichada,La Primavera,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,1200,15,3500,419
2013-5,7HG,DOROTEA B1,Aeródromo,Privado,Casanare,Paz de Ariporo,5.5122,-71.0248,NEW GRANADA ENERGY,1000,18,2000,404
2013-9,7HH,HORIZONTES,Aeródromo,Privado,Santander,Piedecuesta,7.0017,-73.1037,DESARROLLOS METROPOLITANOS,610,12,3500,4195
2013-5,7HJ,MACOLLA,Aeródromo,Privado,Casanare,Maní,4.7713,-72.0714,GRAMERCY S.A.S.,950,18,5000,548
2013-5,7HK,MULETOS- CA,Aeródromo,Privado,Casanare,Maní,4.5549,-72.1753,MULETOS S.A.S.,350,10,500,790
2013-5,7HL,LA MAPORA,Aeródromo,Privado,Casanare,Pore,5.6459,-71.9887,PAULA ANDREA CANO A.,350,10,500,497
2013-9,7HM,LLANO CAUCHO,Aeródromo,Privado,Vichada,Cumaribo,4.4355,-70.6954,AGROINDUSTRIALES DEL ORIENTE,900,15,12000,434
2013-9,7HN,ARMENIA,Aeródromo,Privado,Casanare,Paz de Ariporo,5.787,-70.1835,LUIS JOSE CALA LOPEZ,800,15,3000,380
