idFecha,idRuta,tipoEquipo,tipoVuelo,tipoTrafico,empresa,numeroVuelos,numeroPasajeros,numeroSillas,cargaOfrecida,cargaAbordo
2013-9,BOGCLO,R722,R,N,LAS,1,0,0,22941,22895
2011-11,7NSVVC,B190,T,N,SEARCA S.A.,4,63,0,0,395
2011-4,EJABOG,BE20,T,N,RIO SUR,1,5,0,0,0
2012-12,MTRCTG,JS32,R,N,AEROLINEA DE ANTIOQUIA S.A.,46,911,893,10468,1272
2012-9,ADZPVA,L410,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,60,738,1140,15000,0
2010-5,BOGCTG,A320,A,N,AVIANCA,2,221,294,8822,3290
2011-7,BBABUN,C402,T,N,AEROEXPRESO DEL PACIFICO S.A.,17,87,0,0,146
2010-5,BOGCUC,F50,R,N,AVIANCA,51,1713,2254,43452,875
2013-12,CLOBOG,A318,R,N,AVIANCA,58,3707,5713,603081,70606
2012-11,BOGRVE,AN26,T,N,AER CARIBE LIMITADA,1,911,0,0,2000
2012-2,BOGNVA,F50,R,N,AVIANCA,162,6410,8424,126055,2854
2013-8,OCVCUC,C402,T,N,AEROCHARTER ANDINA S.A.S.,6,911,0,0,390
2013-9,NQUUIB,L410,T,N,TAC,4,911,0,0,350
2013-8,BOGGPI,JS32,T,N,SARPA S.A.S,1,15,0,0,0
2012-2,ADZBOG,A319,C,N,AVIANCA,1,40,120,11557,1168
2010-7,VVCEYP,C206,T,N,AEROCOL S.A.S,2,2,0,0,30
2010-10,BOGEYP,D328,R,N,SERVICIO AEREO A TERRITORIOS NACIONALES SATENA,28,623,1133,21000,1170
2013-7,VVC7HB,C172,T,N,TARI,1,3,0,0,30
2012-3,VVCBOG,BE20,T,N,SEARCA S.A.,2,9,0,0,50
2010-6,VVCBMG,DC3,T,N,AEROLINEAS LLANERAS ARALL LTDA.,2,15,0,0,3250
2013-4,9BBVVC,PA34,T,N,SAER,14,8,0,0,0
2012-5,CLOBOG,BE20,T,N,RIO SUR,1,2,0,0,100
2010-8,NVANVA,PA34,T,N,SAER,14,911,0,0,85
2010-4,VVCACR,C206,T,N,SAER,1,4,1133,0,28
2011-5,7GFEYP,C206,T,N,ALPES S.A.S,16,60,0,0,515
