idRuta,origen,destino
BOGBMG,BOG,BMG
SVIOCV,SVI,OCV
VUPAPO,VUP,APO
APOCUC,APO,CUC
9BEEYP,9BE,EYP
VVC7HG,VVC,7HG
GYMPVA,GYM,PVA
CUCOTU,CUC,OTU
BOG9AB,BOG,9AB
GYMIPI,GYM,IPI
PSOCLO,PSO,CLO
9CEEYP,9CE,EYP
GYMRCH,GYM,RCH
GYMAPO,GYM,APO
ACRSVI,ACR,SVI
9AKMVP,9AK,MVP
VVCFLA,VVC,FLA
EYP9CJ,EYP,9CJ
EYP7GD,EYP,7GD
CPLFLA,CPL,FLA
GYMTME,GYM,TME
AGBIBE,AGB,IBE
PSOVGP,PSO,VGP
7GDAPO,7GD,APO
SMRRCH,SMR,RCH
RVEVVC,RVE,VVC
PUUCUC,PUU,CUC
CTGFLA,CTG,FLA
ADZBOG,ADZ,BOG
EYPFLA,EYP,FLA
MMPMTR,MMP,MTR
EYPRCH,EYP,RCH
CLONQU,CLO,NQU
FLASMR,FLA,SMR
9CJEYP,9CJ,EYP
MTBBOG,MTB,BOG
CUCRAV,CUC,RAV
CIMVVC,CIM,VVC
PVAABT,PVA,ABT
EJA7NR,EJA,7NR
OCVOCV,OCV,OCV
7GDCLO,7GD,CLO
7GDCUC,7GD,CUC
PPNVVC,PPN,VVC
CUCRVE,CUC,RVE
PVAADZ,PVA,ADZ
7NTEYP,7NT,EYP
VVCMQU,VVC,MQU
BOGMGN,BOG,MGN
VVCUIB,VVC,UIB
CZUTLU,CZU,TLU
7GHPCR,7GH,PCR
EJAVUP,EJA,VUP
COGBOG,COG,BOG
RCHRCH,RCH,RCH
7GFVVC,7GF,VVC
GYMOCV,GYM,OCV
ATCBOG,ATC,BOG
NVAEJA,NVA,EJA
SVIMVP,SVI,MVP
7GCGYM,7GC,GYM
PCREJA,PCR,EJA
OCVCUC,OCV,CUC
FLABUN,FLA,BUN
PIPSMR,PIP,SMR
APOACD,APO,ACD
9ARMVP,9AR,MVP
OCVEJA,OCV,EJA
RCHCUC,RCH,CUC
7GCTDA,7GC,TDA
BOGACD,BOG,ACD
GYMNVA,GYM,NVA
PLTMTR,PLT,MTR
AUCPCR,AUC,PCR
CTGMGN,CTG,MGN
UIBEYP,UIB,EYP
GYM7GH,GYM,7GH
ADZPVA,ADZ,PVA
RAVAUC,RAV,AUC
VGPIBE,VGP,IBE
GYMCZU,GYM,CZU
RCHIBE,RCH,IBE
PIPEJA,PIP,EJA
HTZHTZ,HTZ,HTZ
9MWVVC,9MW,VVC
CLOADZ,CLO,ADZ
SMRVUP,SMR,VUP
FLATCO,FLA,TCO
VVCVGP,VVC,VGP
OTUCUC,OTU,CUC
GYMSNR,GYM,SNR
PZAGYM,PZA,GYM
GPIPPN,GPI,PPN
VVCPZA,VVC,PZA
TLUCTG,TLU,CTG
BUNSMR,BUN,SMR
EJAMGN,EJA,MGN
VVCSMR,VVC,SMR
AUCCUC,AUC,CUC
AUCRAV,AUC,RAV
GYMEJA,GYM,EJA
HTZGYM,HTZ,GYM
RCHUIB,RCH,UIB
ACRGYM,ACR,GYM
SNRSNR,SNR,SNR
PUUEJA,PUU,EJA
ELBMTR,ELB,MTR
BOGOTU,BOG,OTU
RCHBOG,RCH,BOG
CUCGYM,CUC,GYM
MTRAPO,MTR,APO
PLTCLO,PLT,CLO
PZACTG,PZA,CTG
GYMACD,GYM,ACD
OTUGYM,OTU,GYM
VVCPUU,VVC,PUU
CUCPZA,CUC,PZA
EJANVA,EJA,NVA
RAVPCR,RAV,PCR
PSOGPI,PSO,GPI
TCOCOG,TCO,COG
UIBURR,UIB,URR
7NTPCR,7NT,PCR
TCOGYM,TCO,GYM
BOGCUC,BOG,CUC
CZUVVC,CZU,VVC
MGNVUP,MGN,VUP
MGNEYP,MGN,EYP
PCRMVP,PCR,MVP
TMEMVP,TME,MVP
EYPTDA,EYP,TDA
IPITCO,IPI,TCO
AUCPUU,AUC,PUU
CLOIPI,CLO,IPI
EYPMVP,EYP,MVP
EYPAPO,EYP,APO
CTGADZ,CTG,ADZ
BOGTLU,BOG,TLU
AUCPZA,AUC,PZA
PUUPLT,PUU,PLT
BOGEYP,BOG,EYP
9DIVVC,9DI,VVC
SVIAUC,SVI,AUC
FLAGYM,FLA,GYM
EYPVUP,EYP,VUP
UIBSMR,UIB,SMR
MTBMTR,MTB,MTR
RCHCLO,RCH,CLO
TCOFLA,TCO,FLA
AUCNVA,AUC,NVA
9LQ9LQ,9LQ,9LQ
EYP7GH,EYP,7GH
BOGMVP,BOG,MVP
BOGBOG,BOG,BOG
UIBACD,UIB,ACD
ACDCZU,ACD,CZU
9LI9LI,9LI,9LI
GYMHTZ,GYM,HTZ
MFSACR,MFS,ACR
EYPVVC,EYP,VVC
VUPEJA,VUP,EJA
CTGSMR,CTG,SMR
PIPVVC,PIP,VVC
PSOPPN,PSO,PPN
VVCBAR,VVC,BAR
EJACIM,EJA,CIM
FLA7NT,FLA,7NT
VUPVVC,VUP,VVC
GYMSVI,GYM,SVI
VVCTDA,VVC,TDA
CZUMMP,CZU,MMP
BUNFLA,BUN,FLA
PVAPUU,PVA,PUU
EYPCTG,EYP,CTG
GYMPCR,GYM,PCR
NVAPTL,NVA,PTL
MGNEJA,MGN,EJA
EYP9CE,EYP,9CE
CLOCOG,CLO,COG
PCRAUC,PCR,AUC
CTG9BF,CTG,9BF
EYP9LI,EYP,9LI
MTRFLA,MTR,FLA
7NTBOG,7NT,BOG
BOGACR,BOG,ACR
CTGCZU,CTG,CZU
7HBEYP,7HB,EYP
UIBCZU,UIB,CZU
TCOEJA,TCO,EJA
TCOBOG,TCO,BOG
BOGMQU,BOG,MQU
PPNGPI,PPN,GPI
CLOBBA,CLO,BBA
7FUVVC,7FU,VVC
ELBBOG,ELB,BOG
EYPUIB,EYP,UIB
MQUPTL,MQU,PTL
MTRACD,MTR,ACD
RAVHTZ,RAV,HTZ
MVP9DI,MVP,9DI
GYMNQU,GYM,NQU
PTLPUU,PTL,PUU
SVITME,SVI,TME
GYM9BW,GYM,9BW
OCVEYP,OCV,EYP
MTBMVP,MTB,MVP
VVCMFS,VVC,MFS
MVPVVC,MVP,VVC
BOGPSO,BOG,PSO
MVPMVP,MVP,MVP
BUNBBA,BUN,BBA
AUCOCV,AUC,OCV
FLAIBE,FLA,IBE
GYMGPI,GYM,GPI
GPIBUN,GPI,BUN
UIBGPI,UIB,GPI
PIPCLO,PIP,CLO
SVIPTL,SVI,PTL
GPIIBE,GPI,IBE
MTRMTB,MTR,MTB
IBEPCR,IBE,PCR
CPLIBE,CPL,IBE
MVPBOG,MVP,BOG
MTRMTR,MTR,MTR
BBACLO,BBA,CLO
PUUFLA,PUU,FLA
BOGPLT,BOG,PLT
EYPCLO,EYP,CLO
IPIPPN,IPI,PPN
MTBVVC,MTB,VVC
EJABUN,EJA,BUN
GYMUIB,GYM,UIB
CUCVVC,CUC,VVC
NVACLO,NVA,CLO
PPNSVI,PPN,SVI
CTGEJU,CTG,EJU
UIBCLO,UIB,CLO
UIBAPO,UIB,APO
PPNBOG,PPN,BOG
9BWBOG,9BW,BOG
PCRBMG,PCR,BMG
PIPEYP,PIP,EYP
BBABOG,BBA,BOG
MTRPVA,MTR,PVA
BOGPCR,BOG,PCR
PPNCLO,PPN,CLO
VVCCTG,VVC,CTG
SMRCUC,SMR,CUC
IBEPUU,IBE,PUU
7GF7GF,7GF,7GF
9BWVVC,9BW,VVC
FLASVI,FLA,SVI
CLOEYP,CLO,EYP
MTRAUC,MTR,AUC
VVC9DI,VVC,9DI
CLOPLT,CLO,PLT
BOGPUU,BOG,PUU
PSOTCO,PSO,TCO
PSOPSO,PSO,PSO
APORVE,APO,RVE
9DIMVP,9DI,MVP
CTGELB,CTG,ELB
VVC9AT,VVC,9AT
TCOBUN,TCO,BUN
PTLBOG,PTL,BOG
EYP9BW,EYP,9BW
PPNPPN,PPN,PPN
ELBVUP,ELB,VUP
7GDEJA,7GD,EJA
RAVGYM,RAV,GYM
EYP9CU,EYP,9CU
NVAPZA,NVA,PZA
VVCGYM,VVC,GYM
MMPCTG,MMP,CTG
EJAPIP,EJA,PIP
NQUCLO,NQU,CLO
7GHGYM,7GH,GYM
TMECUC,TME,CUC
PUUVVC,PUU,VVC
BOGAPO,BOG,APO
CTGVVC,CTG,VVC
NVAPCR,NVA,PCR
PZAPCR,PZA,PCR
TMEAUC,TME,AUC
UIBUIB,UIB,UIB
PSOVVC,PSO,VVC
BOGPVA,BOG,PVA
BMGBOG,BMG,BOG
MTRCTG,MTR,CTG
PUUPPN,PUU,PPN
CZUEJA,CZU,EJA
CLOFLA,CLO,FLA
GYMVVC,GYM,VVC
ACDMTR,ACD,MTR
ELBCTG,ELB,CTG
RVENVA,RVE,NVA
NVACTG,NVA,CTG
MVPPCR,MVP,PCR
PLTBOG,PLT,BOG
CLOCLO,CLO,CLO
VVC7NS,VVC,7NS
CZUMGN,CZU,MGN
GYMFLA,GYM,FLA
PZA7HG,PZA,7HG
NVASVI,NVA,SVI
RAVBOG,RAV,BOG
BUNCZU,BUN,CZU
NVACZU,NVA,CZU
VVCTCO,VVC,TCO
PLTGYM,PLT,GYM
AUCVVC,AUC,VVC
RCHCTG,RCH,CTG
NVAVGP,NVA,VGP
RVEBOG,RVE,BOG
RVESMR,RVE,SMR
GPINVA,GPI,NVA
PLTPUU,PLT,PUU
EYPCPL,EYP,CPL
CLOPSO,CLO,PSO
GYMPIP,GYM,PIP
EJACLO,EJA,CLO
EJAPLT,EJA,PLT
PVABOG,PVA,BOG
CZUUIB,CZU,UIB
BOGCTG,BOG,CTG
TCOCLO,TCO,CLO
9ABBOG,9AB,BOG
PZAEYP,PZA,EYP
SMRMTR,SMR,MTR
UIBRCH,UIB,RCH
GYM9BB,GYM,9BB
EYPCZU,EYP,CZU
9LWEYP,9LW,EYP
OTUEJA,OTU,EJA
TMERAV,TME,RAV
EJAPUU,EJA,PUU
9CBBOG,9CB,BOG
MTRVVC,MTR,VVC
EYPCUC,EYP,CUC
PSOFLA,PSO,FLA
VGPPPN,VGP,PPN
TDA9CU,TDA,9CU
GYMIBE,GYM,IBE
VVCSVI,VVC,SVI
9CGEYP,9CG,EYP
PPNVGP,PPN,VGP
FLAVGP,FLA,VGP
7GD7GD,7GD,7GD
ZPSEJA,ZPS,EJA
RVERVE,RVE,RVE
EYPEYP,EYP,EYP
9CUTDA,9CU,TDA
NQUUIB,NQU,UIB
CLOIBE,CLO,IBE
9LQVVC,9LQ,VVC
VVCGPI,VVC,GPI
MGNELB,MGN,ELB
MVPMTR,MVP,MTR
BUNNQU,BUN,NQU
COGBBA,COG,BBA
TCOTCO,TCO,TCO
BOG7GD,BOG,7GD
NVAAUC,NVA,AUC
MMPEJA,MMP,EJA
IPIPTL,IPI,PTL
TDAVVC,TDA,VVC
BOGIBE,BOG,IBE
GYMPSO,GYM,PSO
BBANQU,BBA,NQU
VVCBUN,VVC,BUN
9ATVVC,9AT,VVC
GYMSMR,GYM,SMR
FLAFLA,FLA,FLA
SVINVA,SVI,NVA
FLAPUU,FLA,PUU
VVCMVP,VVC,MVP
CZUMTR,CZU,MTR
VGPEYP,VGP,EYP
NQUGYM,NQU,GYM
CLONVA,CLO,NVA
IPIPUU,IPI,PUU
EJAOTU,EJA,OTU
NVAMQU,NVA,MQU
GYMBMG,GYM,BMG
APOADZ,APO,ADZ
SVIIBE,SVI,IBE
EYPPZA,EYP,PZA
CZUCTG,CZU,CTG
9CCEYP,9CC,EYP
VVCCPL,VVC,CPL
APONQU,APO,NQU
PSOMQU,PSO,MQU
GPIGPI,GPI,GPI
CZUSMR,CZU,SMR
SVIPUU,SVI,PUU
APOCOG,APO,COG
7NTNVA,7NT,NVA
BOGTME,BOG,TME
UIBNQU,UIB,NQU
VVCEYP,VVC,EYP
RAVVVC,RAV,VVC
SVICPL,SVI,CPL
ACRMVP,ACR,MVP
BUNCUC,BUN,CUC
UIBCUC,UIB,CUC
IBEBOG,IBE,BOG
AUCTME,AUC,TME
UIBGYM,UIB,GYM
COGAPO,COG,APO
AGHVUP,AGH,VUP
TDA7GC,TDA,7GC
EYPSNR,EYP,SNR
NQUFLA,NQU,FLA
ADZCZU,ADZ,CZU
BMGMVP,BMG,MVP
BOGPZA,BOG,PZA
BOG7NT,BOG,7NT
GPIBOG,GPI,BOG
VGPCLO,VGP,CLO
CZUPLT,CZU,PLT
PVAPVA,PVA,PVA
VGPCUC,VGP,CUC
7GCPZA,7GC,PZA
MVPA01,MVP,A01
NVATLU,NVA,TLU
VVC7HB,VVC,7HB
CUCSMR,CUC,SMR
VGPFLA,VGP,FLA
NVAADZ,NVA,ADZ
PLTCZU,PLT,CZU
BMG9DI,BMG,9DI
NQUEJA,NQU,EJA
CUCNVA,CUC,NVA
CZUGYM,CZU,GYM
9BIEYP,9BI,EYP
RAV9CG,RAV,9CG
TMEGYM,TME,GYM
EJAVGP,EJA,VGP
BOGRCH,BOG,RCH
GYMVUP,GYM,VUP
